file	id	SessionDate	TrialList	CorrectResp1	CorrectResp2	CorrectResp3	FaceCenter	FaceLeft	FaceRight	Fixation1	Fixation2	Fixation3	Fixation4	TestCenter	TestLeft	TestRight	TrialList	TestCenter.ACC	TestLeft.ACC	TestRight.ACC	TestCenter.CRESP	TestLeft.CRESP	TestRight.CRESP	TrialList.Cycle	Fixation1.OffsetTime	Fixation2.OffsetTime	Fixation3.OffsetTime	Fixation4.OffsetTime	MemorizeCenter.OffsetTime	MemorizeLeft.OffsetTime	MemorizeRight.OffsetTime	TestCenter.OffsetTime	TestLeft.OffsetTime	TestRight.OffsetTime	Fixation1.OnsetTime	Fixation2.OnsetTime	Fixation3.OnsetTime	Fixation4.OnsetTime	MemorizeCenter.OnsetTime	MemorizeLeft.OnsetTime	MemorizeRight.OnsetTime	TestCenter.OnsetTime	TestLeft.OnsetTime	TestRight.OnsetTime	TestCenter.RESP	TestRight.RESP	TestCenter.RT	TestLeft.RT	TestRight.RT
1/105/AUS_CMFT-105-1.txt	105	NA	2	3	4	4	._LearnFA011	LearnLA011	._LearnRA011	1500	7500	6000	4500	._LearnFA011_T3	._LearnLA011_T2	LearnRA011_T3	2	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	3435	3502	2936
1/105/AUS_CMFT-105-1.txt	105	NA	3	4	2	2	._LearnFA022	LearnLA022	LearnRA022	7500	4500	7500	7500	._LearnFA022_T1	LearnLA022_T3	._LearnRA022_T1	3	1	1	1	2	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	3435	2154	2435
1/105/AUS_CMFT-105-1.txt	105	NA	4	3	3	2	._LearnFA040	LearnLA040	._LearnRA040	7500	4500	1500	7500	._LearnFA040_T2	LearnLA040_T2	LearnRA040_T1	4	1	1	NA	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2837	3855	NA
1/105/AUS_CMFT-105-1.txt	105	NA	5	4	2	4	._LearnFA049	LearnLA049	LearnRA049	1500	7500	6000	1500	._LearnFA049_T1	._LearnLA049_T3	._LearnRA049_T3	5	1	1	1	2	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	3056	2127	2688
1/105/AUS_CMFT-105-1.txt	105	NA	6	2	4	2	LearnFA076	LearnLA076	LearnRA076	7500	7500	1500	4500	LearnFA076_T3	LearnLA076_T1	LearnRA076_T1	6	1	1	NA	4	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	2228	3496	3721
1/109/AUS_CMFT-109-1.txt	109	04-18-2011	1	2	4	4	._LearnFA004	LearnLA004	LearnRA004	15000	7500	3000	1500	._LearnFA004_T3	._LearnLA004_T1	LearnRA004_T3	1	1	1	1	4	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	1750	2008	2035
1/109/AUS_CMFT-109-1.txt	109	NA	2	3	4	4	._LearnFA011	LearnLA011	._LearnRA011	1500	7500	6000	4500	._LearnFA011_T3	._LearnLA011_T2	LearnRA011_T3	2	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	1552	1179	2720
1/109/AUS_CMFT-109-1.txt	109	NA	3	4	2	2	._LearnFA022	LearnLA022	LearnRA022	7500	4500	7500	7500	._LearnFA022_T1	LearnLA022_T3	._LearnRA022_T1	3	1	1	1	2	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2609	1547	1827
1/109/AUS_CMFT-109-1.txt	109	NA	4	3	3	2	._LearnFA040	LearnLA040	._LearnRA040	7500	4500	1500	7500	._LearnFA040_T2	LearnLA040_T2	LearnRA040_T1	4	1	NA	NA	3	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	409	NA	3171
1/109/AUS_CMFT-109-1.txt	109	NA	5	4	2	4	._LearnFA049	LearnLA049	LearnRA049	1500	7500	6000	1500	._LearnFA049_T1	._LearnLA049_T3	._LearnRA049_T3	5	NA	1	NA	2	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	3340	1377	3291
1/109/AUS_CMFT-109-1.txt	109	NA	6	2	4	2	LearnFA076	LearnLA076	LearnRA076	7500	7500	1500	4500	LearnFA076_T3	LearnLA076_T1	LearnRA076_T1	6	1	1	1	4	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1894	1351	3337
1/110/AUS_CMFT-110-1.txt	110	06-19-2012	1	2	4	4	._LearnFA004	LearnLA004	LearnRA004	15000	7500	3000	1500	._LearnFA004_T3	._LearnLA004_T1	LearnRA004_T3	1	NA	1	1	4	2	4	1	55369	71869	79369	85369	61369	58369	64369	83869	76369	89869	40488	64477	76480	83969	58475	55466	61468	79472	71966	85473	3	4	3352	2007	1863
1/110/AUS_CMFT-110-1.txt	110	NA	2	3	4	4	._LearnFA011	LearnLA011	._LearnRA011	1500	7500	6000	4500	._LearnFA011_T3	._LearnLA011_T2	LearnRA011_T3	2	1	1	1	4	3	4	1	91369	107869	118369	127369	97369	94369	100369	122869	112369	131869	89970	100469	112471	122970	94467	91475	97476	118473	107975	127467	4	4	3852	2890	4275
1/110/AUS_CMFT-110-1.txt	110	NA	3	4	2	2	._LearnFA022	LearnLA022	LearnRA022	7500	4500	7500	7500	._LearnFA022_T1	LearnLA022_T3	._LearnRA022_T1	3	NA	1	1	2	4	2	1	139369	152869	164869	176869	145369	142369	148369	169369	157369	181369	131964	148480	157474	169477	142479	139470	145471	164980	152977	176966	3	2	1479	2631	2481
1/110/AUS_CMFT-110-1.txt	110	NA	4	3	3	2	._LearnFA040	LearnLA040	._LearnRA040	7500	4500	1500	7500	._LearnFA040_T2	LearnLA040_T2	LearnRA040_T1	4	1	1	1	3	3	2	1	188869	202369	208369	220369	194869	191869	197869	212869	206869	224869	181479	197979	206973	212974	191978	188969	194970	208478	202476	220464	3	2	1772	2039	2620
1/110/AUS_CMFT-110-1.txt	110	NA	5	4	2	4	._LearnFA049	LearnLA049	LearnRA049	1500	7500	6000	1500	._LearnFA049_T1	._LearnLA049_T3	._LearnRA049_T3	5	1	1	1	2	4	4	1	226369	242869	253369	259369	232369	229369	235369	257869	247369	263869	224977	235476	247478	257977	229474	226465	232467	253480	242965	259465	2	4	1597	2422	2127
1/110/AUS_CMFT-110-1.txt	110	NA	6	2	4	2	LearnFA076	LearnLA076	LearnRA076	7500	7500	1500	4500	LearnFA076_T3	LearnLA076_T1	LearnRA076_T1	6	1	1	1	4	2	2	1	271369	287869	293869	302869	277369	274369	280369	298369	292369	307369	263978	280478	292464	298465	274476	271467	277469	293969	287967	302979	4	2	2522	2814	1570
1/111/AUS_CMFT-111-1.txt	111	06-19-2012	1	2	4	4	._LearnFA004	LearnLA004	LearnRA004	15000	7500	3000	1500	._LearnFA004_T3	._LearnLA004_T1	LearnRA004_T3	1	NA	1	1	4	2	4	1	60612	77112	84612	90612	66612	63612	69612	89112	81612	95112	45728	69717	81720	89209	63716	60707	66708	84713	77207	90714	3	4	3662	2932	3194
1/111/AUS_CMFT-111-1.txt	111	NA	2	3	4	4	._LearnFA011	LearnLA011	._LearnRA011	1500	7500	6000	4500	._LearnFA011_T3	._LearnLA011_T2	LearnRA011_T3	2	1	1	1	4	3	4	1	96612	113112	123612	132612	102612	99612	105612	128112	117612	137112	95211	105709	117712	128210	99708	96715	102717	123713	113215	132707	4	4	2446	2299	2352
1/111/AUS_CMFT-111-1.txt	111	NA	3	4	2	2	._LearnFA022	LearnLA022	LearnRA022	7500	4500	7500	7500	._LearnFA022_T1	LearnLA022_T3	._LearnRA022_T1	3	1	1	1	2	4	2	1	144612	158112	170112	182112	150612	147612	153612	174612	162612	186612	137221	153721	162714	174717	147719	144710	150711	170220	158217	182223	2	2	3326	1830	2255
1/111/AUS_CMFT-111-1.txt	111	NA	4	3	3	2	._LearnFA040	LearnLA040	._LearnRA040	7500	4500	1500	7500	._LearnFA040_T2	LearnLA040_T2	LearnRA040_T1	4	1	1	1	3	3	2	1	194112	207612	213612	225612	200112	197112	203112	218112	212112	230112	186720	203220	212214	218215	197218	194209	200211	213718	207717	225721	3	2	3454	1995	2244
1/111/AUS_CMFT-111-1.txt	111	NA	5	4	2	4	._LearnFA049	LearnLA049	LearnRA049	1500	7500	6000	1500	._LearnFA049_T1	._LearnLA049_T3	._LearnRA049_T3	5	NA	NA	1	2	4	4	1	231612	248112	258612	264612	237612	234612	240612	263112	252612	269112	230218	240716	252719	263217	234715	231722	237707	258720	248222	264722	4	4	3589	3327	4374
1/111/AUS_CMFT-111-1.txt	111	NA	6	2	4	2	LearnFA076	LearnLA076	LearnRA076	7500	7500	1500	4500	LearnFA076_T3	LearnLA076_T1	LearnRA076_T1	6	1	1	1	4	2	2	1	276612	293112	299112	308112	282612	279612	285612	303612	297612	312612	269219	285718	297721	303723	279717	276708	282709	299209	293208	308220	4	2	1993	1877	2261
1/112/AUS_CMFT-112-1.txt	112	05-14-2011	1	2	4	4	._LearnFA004	LearnLA004	LearnRA004	15000	7500	3000	1500	._LearnFA004_T3	._LearnLA004_T1	LearnRA004_T3	1	1	1	1	4	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	3016	2087	2478
1/112/AUS_CMFT-112-1.txt	112	NA	2	3	4	4	._LearnFA011	LearnLA011	._LearnRA011	1500	7500	6000	4500	._LearnFA011_T3	._LearnLA011_T2	LearnRA011_T3	2	1	1	NA	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	2315	2189	2033
