file	id	SessionDate	TrialList	CorrectResp1	CorrectResp2	CorrectResp3	FaceCenter	FaceLeft	FaceRight	Fixation1	Fixation2	Fixation3	Fixation4	TestCenter	TestLeft	TestRight	TrialList	TestCenter.ACC	TestLeft.ACC	TestRight.ACC	TestCenter.CRESP	TestLeft.CRESP	TestRight.CRESP	TrialList.Cycle	Fixation1.OffsetTime	Fixation2.OffsetTime	Fixation3.OffsetTime	Fixation4.OffsetTime	MemorizeCenter.OffsetTime	MemorizeLeft.OffsetTime	MemorizeRight.OffsetTime	TestCenter.OffsetTime	TestLeft.OffsetTime	TestRight.OffsetTime	Fixation1.OnsetTime	Fixation2.OnsetTime	Fixation3.OnsetTime	Fixation4.OnsetTime	MemorizeCenter.OnsetTime	MemorizeLeft.OnsetTime	MemorizeRight.OnsetTime	TestCenter.OnsetTime	TestLeft.OnsetTime	TestRight.OnsetTime	TestCenter.RESP	TestRight.RESP	TestCenter.RT	TestLeft.RT	TestRight.RT
1/110/CMFT-110-1.txt	110	06-19-2012	1	3	4	4	Bob_frontal_study.bmp	Bob_left_study.bmp	Bob_right_study.bmp	10500	3000	6000	6000	B2_Identical_Frontal.bmp	B1_Identical_Left.bmp	B3_Identical_Right.bmp	1	1	1	1	4	3	4	1	59253	71253	81753	92253	65253	62253	68253	86253	75753	96753	48867	68359	75848	86363	62358	59349	65350	81850	71351	92348	4	4	2140	2068	1947
1/110/CMFT-110-1.txt	110	NA	2	3	4	4	Dan_frontal_study.bmp	Dan_Left_Study.bmp	Dan_Right_Frontal.bmp	7500	3000	1500	7500	D2_Identical_Frontal.bmp	D1_Identical_Left.bmp	D3_Identical_Right.bmp	2	1	1	1	4	3	4	1	104253	116253	122253	134253	110253	107253	113253	126753	120753	138753	96862	113361	120851	126852	107360	104351	110352	122355	116354	134358	4	4	2691	2555	2438
1/110/CMFT-110-1.txt	110	NA	3	4	4	2	Jim_front.bmp	Jim_left.bmp	Jim_right.bmp	3000	6000	4500	6000	J_2_Iden_Front.bmp	J_1_Iden_L.bmp	J_3_Iden_R.bmp	3	1	1	1	4	4	2	1	141753	156753	165753	176253	147753	144753	150753	170253	161253	180753	138855	150858	161356	170350	144856	141864	147849	165853	156859	176351	4	2	1598	1626	2215
1/110/CMFT-110-1.txt	110	NA	4	3	4	2	Matt_front.bmp	Matt_left_cropped.bmp	Matt_right_cropped.bmp	4500	7500	4500	6000	M_2_Iden_Front.bmp	M_1_Iden_L.bmp	M_3_Iden_R.bmp	4	1	1	1	4	3	2	1	185253	201753	210753	221253	191253	188253	194253	215253	206253	225753	180848	194356	206358	215352	188354	185362	191363	210855	201862	221354	4	2	3229	2155	4296
1/110/CMFT-110-1.txt	110	NA	5	4	2	4	Nate_front_cropped.bmp	Nate_left_cropped.bmp	Nate_right_cropped.bmp	6000	7500	3000	4500	N_2_Iden_Front.bmp	N_1_Iden_L.bmp	N_3_Iden_R.bmp	5	1	1	1	2	4	4	1	231753	248253	255753	264753	237753	234753	240753	260253	252753	269253	225851	240862	252849	260355	234861	231852	237853	255858	248352	264851	2	4	3516	2274	1755
1/110/CMFT-110-1.txt	110	NA	6	2	4	2	Zack_Front_cropped.bmp	Zack_Left_cropped.bmp	Zack_Right_Cropped.bmp	7500	1500	6000	4500	Z_2_Iden_Front.bmp	Z_1_Iden_L.bmp	Z_3_Iden_R.bmp	6	1	1	1	4	2	2	1	276753	287253	297753	306753	282753	279753	285753	302253	291753	311253	269348	285848	291850	302348	279863	276854	282856	297851	287353	306861	4	2	1796	2234	1602
1/111/CMFT-111-1.txt	111	06-19-2012	1	3	4	4	Bob_frontal_study.bmp	Bob_left_study.bmp	Bob_right_study.bmp	10500	3000	6000	6000	B2_Identical_Frontal.bmp	B1_Identical_Left.bmp	B3_Identical_Right.bmp	1	1	1	1	4	3	4	1	66450	78450	88950	99450	72450	69450	75450	93450	82950	103950	56059	75551	83057	93556	69550	66558	72559	89059	78561	99557	4	4	2443	2424	1729
1/111/CMFT-111-1.txt	111	NA	2	3	4	4	Dan_frontal_study.bmp	Dan_Left_Study.bmp	Dan_Right_Frontal.bmp	7500	3000	1500	7500	D2_Identical_Frontal.bmp	D1_Identical_Left.bmp	D3_Identical_Right.bmp	2	1	1	NA	4	3	4	1	111450	123450	129450	141450	117450	114450	120450	133950	127950	145950	104054	120554	128060	134045	114552	111560	117545	129548	123546	141550	4	2	3709	2631	3722
1/111/CMFT-111-1.txt	111	NA	3	4	4	2	Jim_front.bmp	Jim_left.bmp	Jim_right.bmp	3000	6000	4500	6000	J_2_Iden_Front.bmp	J_1_Iden_L.bmp	J_3_Iden_R.bmp	3	1	1	1	4	4	2	1	148950	163950	172950	183450	154950	151950	157950	177450	168450	187950	146047	158050	168548	177559	152049	149056	155058	173045	164052	183560	4	2	3523	3611	3129
1/111/CMFT-111-1.txt	111	NA	4	3	4	2	Matt_front.bmp	Matt_left_cropped.bmp	Matt_right_cropped.bmp	4500	7500	4500	6000	M_2_Iden_Front.bmp	M_1_Iden_L.bmp	M_3_Iden_R.bmp	4	1	1	1	4	3	2	1	192450	208950	217950	228450	198450	195450	201450	222450	213450	232950	188057	201548	213551	222545	195547	192554	198556	218048	209054	228546	4	2	3537	2166	1849
