"year","id","task","tasktime","trial","onset","event","FixTime","TestSlide","TestSlide.RT","CorrectResp","TestSlide.ACC"
1,102,"CMFT_Cond2",2011-10-01 12:42:03,5,71,"TestSlide",7500,"B7_Bottomlit_Frontal",2369,4,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,6,75.5,"Fix",7500,"J_6_23_L_Pro",2251,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,6,83,"TestSlide",7500,"J_6_23_L_Pro",2251,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,7,87.5,"Fix",7500,"D7_Bottomlit_Frontal",2732,2,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,7,95,"TestSlide",7500,"D7_Bottomlit_Frontal",2732,2,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,8,99.5,"Fix",1500,"Z_5_Front_Half",1913,4,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,8,101,"TestSlide",1500,"Z_5_Front_Half",1913,4,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,9,105.5,"Fix",7500,"M_6_23_L_Pro",2498,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,9,113,"TestSlide",7500,"M_6_23_L_Pro",2498,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,10,117.5,"Fix",4500,"J_7_Bottom_Lit",2973,4,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,10,122,"TestSlide",4500,"J_7_Bottom_Lit",2973,4,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,11,126.5,"Fix",7500,"N_4_23_R_Pro",1751,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,11,134,"TestSlide",7500,"N_4_23_R_Pro",1751,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,12,138.5,"Fix",6000,"M_8_13_R_Pro_dark",2429,4,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,12,144.5,"TestSlide",6000,"M_8_13_R_Pro_dark",2429,4,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,13,149,"Fix",1500,"J_5_Front_Halflit",NA,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,13,150.5,"TestSlide",1500,"J_5_Front_Halflit",NA,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,14,155,"Fix",4500,"N_7_Front_Bot",1485,2,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,14,159.5,"TestSlide",4500,"N_7_Front_Bot",1485,2,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,15,164,"Fix",7500,"Z_4_23_Pro_R",2023,3,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,15,171.5,"TestSlide",7500,"Z_4_23_Pro_R",2023,3,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,16,176,"Fix",4500,"D8_13_Profile_R",2562,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,16,180.5,"TestSlide",4500,"D8_13_Profile_R",2562,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,17,185,"Fix",1500,"M_7_Front_Bot",2350,3,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,17,186.5,"TestSlide",1500,"M_7_Front_Bot",2350,3,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,18,191,"Fix",7500,"B4_23_pro_ri",2519,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,18,198.5,"TestSlide",7500,"B4_23_pro_ri",2519,3,0
