file	id	SessionDate	TrialList	CorrectResp1	CorrectResp2	CorrectResp3	BackImage	FrontImage	SideImage	Fixation1	Fixation2	Fixation3	Fixation4	TestBack	TestFront	TestSide	TrialList	TestBack.ACC	TestFront.ACC	TestSide.ACC	TestFront.CRESP	TestSide.CRESP	TrialList.Cycle	Fixation2.Duration	Fixation1.OffsetTime	Fixation2.OffsetTime	Fixation3.OffsetTime	Fixation4.OffsetTime	MemorizeBack.OffsetTime	MemorizeFront.OffsetTime	MemorizeSide.OffsetTime	TestBack.OffsetTime	TestFront.OffsetTime	TestSide.OffsetTime	Fixation1.OnsetTime	Fixation2.OnsetTime	Fixation3.OnsetTime	Fixation4.OnsetTime	MemorizeBack.OnsetTime	MemorizeFront.OnsetTime	MemorizeSide.OnsetTime	TestBack.OnsetTime	TestFront.OnsetTime	TestSide.OnsetTime	TestFront.RESP	TestSide.RESP	TestBack.RT	TestFront.RT	TestSide.RT
1/110/Cars-110-1.txt	110	06-19-2012	1	4	2	2	Target1_AcuraRL_Back	Target1_AcuraRL_Front	Target1_AcuraRL_Side	15000	7500	6000	3000	1_ARL_Back_Cond1_1	1_ARL_Front_Cond1_3	1_ARL_Side_Cond1_1	1	NA	1	1	4	2	1	7500	57502	74002	84502	92002	66502	60502	63502	96502	78502	89002	42608	66597	78600	89098	63605	57603	60612	92107	74103	84601	4	2	2628	2624	4004
1/110/Cars-110-1.txt	110	NA	2	2	3	3	Target2_HondaCivic_Back	Target2_HondaCivic_Front	Target2_HondaCivic_Side	3000	7500	4500	6000	2_HC_Back_Cond1_2	2_HC_Front_Cond1_1	2_HC_Side_Cond1_2	2	1	1	1	2	3	1	7500	99502	116002	125002	135502	108502	102502	105502	140002	120502	129502	96604	108607	120610	129604	105598	99613	102605	135605	116113	125107	2	3	3357	2273	2637
1/110/Cars-110-1.txt	110	NA	3	3	4	4	Target3_FordTaurus_Back	Target3_FordTaurus_Front	Target3_FordTaurus_Side	3000	4500	7500	7500	3_FT_Back_Cond1_3	3_FT_Front_Cond1_2	3_FT_Side_Cond1_3	3	1	1	NA	3	4	1	4500	143002	156502	168502	180502	152002	146002	149002	185002	161002	173002	140102	152105	161099	173101	149112	143111	146103	180607	156602	168604	3	3	3209	1418	3099
1/110/Cars-110-1.txt	110	NA	4	2	4	2	Target4_KiaSpectra_Back	Target4_KiaSpectra_Front	Target4_KiaSpectra_Side	7500	7500	1500	7500	4_KS_Back_Cond1_1	4_KS_Front_Cond1_1	4_KS_Side_Cond1_3	4	1	NA	1	2	4	1	7500	192502	209002	215002	227002	201502	195502	198502	231502	213502	219502	185104	201604	213607	219608	198612	192610	195603	227097	209110	215111	4	4	2131	2487	3069
1/110/Cars-110-1.txt	110	NA	5	3	3	4	Target5_ChevyImpala_Back	Target5_ChevyImpala_Front	Target5_ChevyImpala_Side	1500	3000	1500	6000	5_CI_Back_Cond1_3	5_CI_Front_Cond1_2	5_CI_Side_Cond1_2	5	NA	NA	NA	3	3	1	3000	233002	245002	251002	261502	242002	236002	239002	266002	249502	255502	231611	242109	249599	255600	239100	233099	236108	261601	245102	251103	4	2	3503	2692	3351
1/110/Cars-110-1.txt	110	NA	6	4	2	4	Target6_ToyotaCamry_Back	Target6_ToyotaCamry_Front	Target6_ToyotaCamry_Side	7500	7500	1500	1500	6_TC_Back_Cond1_3	6_TC_Front_Cond1_3	6_TC_Side_Cond1_1	6	1	1	1	4	2	1	7500	273502	290002	296002	302002	282502	276502	279502	306502	294502	300502	266098	282598	294601	300602	279606	273604	276597	302107	290104	296105	4	2	2669	2373	2748
1/111/Cars-111-1.txt	111	06-19-2012	1	4	2	2	Target1_AcuraRL_Back	Target1_AcuraRL_Front	Target1_AcuraRL_Side	15000	7500	6000	3000	1_ARL_Back_Cond1_1	1_ARL_Front_Cond1_3	1_ARL_Side_Cond1_1	1	1	1	1	4	2	1	7500	59180	75680	86180	93680	68180	62180	65180	98180	80180	90680	44286	68275	80278	90776	65282	59281	62290	93785	75781	86279	4	2	4040	2455	3601
1/111/Cars-111-1.txt	111	NA	2	2	3	3	Target2_HondaCivic_Back	Target2_HondaCivic_Front	Target2_HondaCivic_Side	3000	7500	4500	6000	2_HC_Back_Cond1_2	2_HC_Front_Cond1_1	2_HC_Side_Cond1_2	2	1	1	NA	2	3	1	7500	101180	117680	126680	137180	110180	104180	107180	141680	122180	131180	98282	110285	122288	131281	107276	101291	104283	137283	117791	126784	2	4	3526	2145	4572
1/111/Cars-111-1.txt	111	NA	3	3	4	4	Target3_FordTaurus_Back	Target3_FordTaurus_Front	Target3_FordTaurus_Side	3000	4500	7500	7500	3_FT_Back_Cond1_3	3_FT_Front_Cond1_2	3_FT_Side_Cond1_3	3	1	NA	NA	3	4	1	4500	144680	158180	170180	182180	153680	147680	150680	186680	162680	174680	141780	153782	162776	174779	150790	144789	147781	182285	158279	170282	4	2	1668	2283	3626
1/111/Cars-111-1.txt	111	NA	4	2	4	2	Target4_KiaSpectra_Back	Target4_KiaSpectra_Front	Target4_KiaSpectra_Side	7500	7500	1500	7500	4_KS_Back_Cond1_1	4_KS_Front_Cond1_1	4_KS_Side_Cond1_3	4	1	1	1	2	4	1	7500	194180	210680	216680	228680	203180	197180	200180	233180	215180	221180	186782	203282	215285	221286	200289	194288	197280	228775	210788	216789	2	4	3320	2448	2681
1/111/Cars-111-1.txt	111	NA	5	3	3	4	Target5_ChevyImpala_Back	Target5_ChevyImpala_Front	Target5_ChevyImpala_Side	1500	3000	1500	6000	5_CI_Back_Cond1_3	5_CI_Front_Cond1_2	5_CI_Side_Cond1_2	5	1	1	1	3	3	1	3000	234680	246680	252680	263180	243680	237680	240680	267680	251180	257180	233289	243787	251276	257278	240778	234777	237786	263279	246779	252781	3	3	2569	2844	3020
1/111/Cars-111-1.txt	111	NA	6	4	2	4	Target6_ToyotaCamry_Back	Target6_ToyotaCamry_Front	Target6_ToyotaCamry_Side	7500	7500	1500	1500	6_TC_Back_Cond1_3	6_TC_Front_Cond1_3	6_TC_Side_Cond1_1	6	1	NA	1	4	2	1	7500	275180	291680	297680	303680	284180	278180	281180	308180	296180	302180	267776	284276	296279	302280	281283	275282	278291	303785	291782	297783	3	2	1225	3017	1751
1/112/Cars-112-1.txt	112	05-14-2011	1	4	2	2	Target1_AcuraRL_Back	Target1_AcuraRL_Front	Target1_AcuraRL_Side	15000	7500	6000	3000	1_ARL_Back_Cond1_1	1_ARL_Front_Cond1_3	1_ARL_Side_Cond1_1	1	NA	1	1	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	2782	3819	2547
